date,route_id,segment_id,segment_type,distance_km,day_of_week,is_weekend,is_holiday,hour_of_day,time_of_day_bin,weather_severity,current_speed,previous_segment_speed,travel_time_seconds,is_incident
2025-01-01,R1,R1_S1,market,0.9,2,0,0,20.74,20:30-20:45,0,,15.75,283.6,0
2025-01-01,R1,R1_S2,signalized_corridor,1.4,2,0,0,20.81,20:45-21:00,0,17.41,14.18,273.6,0
2025-01-01,R1,R1_S3,flyover,2.6,2,0,0,20.89,20:45-21:00,0,41.52,26.09,216.9,0
2025-01-01,R1,R1_S4,narrow_lane,1.1,2,0,0,20.95,20:45-21:00,0,11.49,42.12,352.9,0
2025-01-01,R1,R1_S5,residential,2.2,2,0,0,21.05,21:00-21:15,0,25.08,9.18,362.4,0
2025-01-01,R1,R1_S6,highway,3.8,2,0,0,21.15,21:00-21:15,0,39.07,20.55,367.1,0
2025-01-01,R1,R1_S7,school_zone,1.8,2,0,0,21.25,21:15-21:30,0,17.39,37.7,382.2,0
2025-01-01,R1,R1_S8,commercial_hub,2.5,2,0,0,21.36,21:15-21:30,0,11.09,13.79,697.2,0
2025-01-01,R1,R1_S1,market,0.9,2,0,0,11.53,11:30-11:45,0,,9.56,312.5,0
2025-01-01,R1,R1_S2,signalized_corridor,1.4,2,0,0,11.62,11:30-11:45,0,20.62,10.43,311.8,0
2025-01-01,R1,R1_S3,flyover,2.6,2,0,0,11.7,11:30-11:45,0,41.76,24.83,221.9,0
2025-01-01,R1,R1_S4,narrow_lane,1.1,2,0,0,11.76,11:45-12:00,0,10.96,40.88,389.6,0
2025-01-01,R1,R1_S5,residential,2.2,2,0,0,11.87,11:45-12:00,0,26.93,10.34,367.8,0
2025-01-01,R1,R1_S6,highway,3.8,2,0,0,11.98,11:45-12:00,0,35.01,20.5,378.1,0
2025-01-01,R1,R1_S7,school_zone,1.8,2,0,0,12.08,12:00-12:15,0,17.2,38.02,357.3,0
2025-01-01,R1,R1_S8,commercial_hub,2.5,2,0,0,12.18,12:00-12:15,0,15.81,17.48,560.3,0
2025-01-01,R1,R1_S1,market,0.9,2,0,0,18.68,18:30-18:45,0,6.36,6.36,625.7,0
2025-01-01,R1,R1_S2,signalized_corridor,1.4,2,0,0,18.85,18:45-19:00,0,12.19,3.0,492.1,0
