date,route_id,segment_id,segment_type,distance_km,day_of_week,is_weekend,is_holiday,hour_of_day,time_of_day_bin,weather_severity,current_speed,previous_segment_speed,travel_time_seconds
2026-03-01,R1,R1_S1,market,1.2,6,1,0,17.71,17:30-17:45,0,7.19,7.19,601.1
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,17.88,17:45-18:00,0,18.28,7.19,492.2
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,18.02,18:00-18:15,0,24.51,18.28,558.2
2026-03-01,R1,R1_S4,market,1.0,6,1,0,18.17,18:00-18:15,0,10.37,24.51,347.1
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,18.27,18:15-18:30,0,16.66,10.37,432.1
2026-03-01,R1,R1_S1,market,1.2,6,1,0,8.93,08:45-09:00,0,8.07,8.07,535.5
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,9.08,09:00-09:15,0,18.15,8.07,496.0
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,9.22,09:00-09:15,0,19.9,18.15,687.4
2026-03-01,R1,R1_S4,market,1.0,6,1,0,9.41,09:15-09:30,0,6.27,19.9,574.4
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,9.57,09:30-09:45,0,16.7,6.27,431.2
2026-03-01,R1,R1_S1,market,1.2,6,1,0,15.79,15:45-16:00,0,15.46,15.46,279.5
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,15.87,15:45-16:00,0,23.96,15.46,375.6
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,15.97,15:45-16:00,0,35.32,23.96,387.3
2026-03-01,R1,R1_S4,market,1.0,6,1,0,16.08,16:00-16:15,0,12.89,35.32,279.3
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,16.16,16:00-16:15,0,24.17,12.89,297.9
2026-03-01,R1,R1_S1,market,1.2,6,1,0,14.23,14:00-14:15,0,17.0,17.0,254.2
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,14.3,14:15-14:30,0,24.32,17.0,370.1
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,14.4,14:15-14:30,0,37.03,24.32,369.4
2026-03-01,R1,R1_S4,market,1.0,6,1,0,14.5,14:30-14:45,0,14.37,37.03,250.5
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,14.57,14:30-14:45,0,25.98,14.37,277.2
2026-03-01,R1,R1_S1,market,1.2,6,1,0,7.04,07:00-07:15,0,15.2,15.2,284.2
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,7.12,07:00-07:15,0,27.01,15.2,333.3
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,7.21,07:00-07:15,0,37.41,27.01,365.7
2026-03-01,R1,R1_S4,market,1.0,6,1,0,7.31,07:15-07:30,0,15.15,37.41,237.7
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,7.38,07:15-07:30,0,23.46,15.15,306.9
2026-03-01,R1,R1_S1,market,1.2,6,1,0,13.92,13:45-14:00,0,15.86,15.86,272.4
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,14.0,13:45-14:00,0,26.78,15.86,336.1
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,14.09,14:00-14:15,0,34.24,26.78,399.6
2026-03-01,R1,R1_S4,market,1.0,6,1,0,14.2,14:00-14:15,0,16.41,34.24,219.3
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,14.26,14:15-14:30,0,21.77,16.41,330.7
2026-03-01,R1,R1_S1,market,1.2,6,1,0,14.75,14:30-14:45,0,16.43,16.43,263.0
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,14.82,14:45-15:00,0,26.89,16.43,334.7
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,14.91,14:45-15:00,0,34.68,26.89,394.5
2026-03-01,R1,R1_S4,market,1.0,6,1,0,15.02,15:00-15:15,0,13.73,34.68,262.3
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,15.1,15:00-15:15,0,26.69,13.73,269.7
2026-03-01,R1,R1_S1,market,1.2,6,1,0,11.71,11:30-11:45,0,15.29,15.29,282.5
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,11.79,11:45-12:00,0,25.92,15.29,347.2
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,11.88,11:45-12:00,0,33.1,25.92,413.3
2026-03-01,R1,R1_S4,market,1.0,6,1,0,12.0,11:45-12:00,0,16.59,33.1,217.0
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,12.06,12:00-12:15,0,24.61,16.59,292.6
2026-03-01,R1,R1_S1,market,1.2,6,1,0,7.19,07:00-07:15,0,16.97,16.97,254.5
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,7.26,07:15-07:30,0,26.9,16.97,334.6
2026-03-01,R1,R1_S3,highway,3.8,6,1,0,7.36,07:15-07:30,0,38.68,26.9,353.7
2026-03-01,R1,R1_S4,market,1.0,6,1,0,7.45,07:15-07:30,0,17.23,38.68,208.9
2026-03-01,R1,R1_S5,residential,2.0,6,1,0,7.51,07:30-07:45,0,24.93,17.23,288.8
2026-03-01,R1,R1_S1,market,1.2,6,1,0,7.85,07:45-08:00,0,15.16,15.16,284.9
2026-03-01,R1,R1_S2,residential,2.5,6,1,0,7.93,07:45-08:00,0,25.9,15.16,347.5
